,date,Origin,ArrDelay
41,1999-09-30,DFW,-0.10761496927946379
42,1999-09-30,LAX,4.275537215820616
43,1999-09-30,ORD,1.6886620488516224
44,1999-09-30,STL,-3.1124935199585275
45,1999-10-31,ATL,4.864634490544736
46,1999-10-31,DFW,-2.000468850729649
47,1999-10-31,LAX,3.5865283416027665
48,1999-10-31,ORD,1.0073518527655796
49,1999-10-31,STL,-2.6292947558770345
50,1999-11-30,ATL,1.7512169680111265
51,1999-11-30,DFW,-2.83881945303799
52,1999-11-30,LAX,5.195590815470288
53,1999-11-30,ORD,-1.1768707482993197
54,1999-11-30,STL,-3.9485476443499823
55,1999-12-31,ATL,2.3707972562689754
56,1999-12-31,DFW,-0.962106694689992
57,1999-12-31,LAX,4.439222279073167
58,1999-12-31,ORD,3.3235748946835173
59,1999-12-31,STL,-0.5492571630703926
0,2000-01-31,ATL,4.79723556284409
1,2000-01-31,DFW,-1.4787120306898938
2,2000-01-31,LAX,1.6605463502015225
3,2000-01-31,ORD,4.611871138570168
4,2000-01-31,STL,0.3941239699032605
5,2000-02-29,ATL,2.402377010406812
6,2000-02-29,DFW,1.5038077731092436
7,2000-02-29,LAX,6.655062280421591
8,2000-02-29,ORD,3.874465781526013
9,2000-02-29,STL,0.008588498879761016
10,2000-03-31,ATL,2.4774665712870743
11,2000-03-31,DFW,4.229689006750241
12,2000-03-31,LAX,5.893743139407245
13,2000-03-31,ORD,2.702029102260712
14,2000-03-31,STL,1.300026066556608
15,2000-04-30,ATL,3.4719572462935293
16,2000-04-30,DFW,1.2904282115869017
17,2000-04-30,LAX,4.798764145324598
18,2000-04-30,ORD,6.0299765308299555
19,2000-04-30,STL,1.469988371052867
20,2000-05-31,ATL,1.9004627017266673
21,2000-05-31,DFW,3.1873497318291104
22,2000-05-31,LAX,5.7228713305097125
23,2000-05-31,ORD,10.464734506176141
24,2000-05-31,STL,5.029758268609826
25,2000-06-30,ATL,6.173423161807411
26,2000-06-30,DFW,12.870221712538227
27,2000-06-30,LAX,7.953870896995395
28,2000-06-30,ORD,19.689539611031755
29,2000-06-30,STL,11.653253271195554
30,2000-07-31,ATL,5.477345805320081
31,2000-07-31,DFW,1.149719536937582
32,2000-07-31,LAX,7.701159740439045
33,2000-07-31,ORD,20.295268138801262
34,2000-07-31,STL,5.4085360574842
35,2000-08-31,ATL,3.519082691663877
36,2000-08-31,DFW,-0.44626615605552894
37,2000-08-31,LAX,9.89994562262099
