,date,dest_city,origin_city,DepDelay
55,2000-12-31,Minneapolis,Chicago,24.83641975308642
56,2000-12-31,Las Vegas,Los Angeles,17.358868184955142
57,2000-12-31,San Francisco,Los Angeles,18.123300970873785
58,2000-12-31,Chicago,Minneapolis,20.91443298969072
59,2000-12-31,Los Angeles,San Francisco,15.53391472868217
0,2001-01-31,Minneapolis,Chicago,4.792467948717949
1,2001-01-31,Las Vegas,Los Angeles,13.643638850889193
2,2001-01-31,San Francisco,Los Angeles,16.10828625235405
3,2001-01-31,Chicago,Minneapolis,4.154581673306773
4,2001-01-31,Los Angeles,San Francisco,11.930646672914714
5,2001-02-28,Minneapolis,Chicago,7.182805429864254
6,2001-02-28,Las Vegas,Los Angeles,15.68608169440242
7,2001-02-28,San Francisco,Los Angeles,18.752556237218815
8,2001-02-28,Chicago,Minneapolis,8.060054595086442
9,2001-02-28,Los Angeles,San Francisco,16.794534412955464
10,2001-03-31,Minneapolis,Chicago,5.542269611576542
11,2001-03-31,Las Vegas,Los Angeles,12.589619377162629
12,2001-03-31,San Francisco,Los Angeles,15.894881170018282
13,2001-03-31,Chicago,Minneapolis,5.907774390243903
14,2001-03-31,Los Angeles,San Francisco,13.364630811303556
15,2001-04-30,Minneapolis,Chicago,10.81101068200493
16,2001-04-30,Las Vegas,Los Angeles,10.572474377745241
17,2001-04-30,San Francisco,Los Angeles,22.226315789473684
18,2001-04-30,Chicago,Minneapolis,10.725714285714286
19,2001-04-30,Los Angeles,San Francisco,15.863588667366212
20,2001-05-31,Minneapolis,Chicago,7.053058216654384
21,2001-05-31,Las Vegas,Los Angeles,8.405755395683453
22,2001-05-31,San Francisco,Los Angeles,8.21215043394407
23,2001-05-31,Chicago,Minneapolis,5.464153732446415
24,2001-05-31,Los Angeles,San Francisco,5.691204588910134
25,2001-06-30,Minneapolis,Chicago,10.625289128758673
26,2001-06-30,Las Vegas,Los Angeles,7.996299037749815
27,2001-06-30,San Francisco,Los Angeles,6.860444444444444
28,2001-06-30,Chicago,Minneapolis,10.809119010819165
29,2001-06-30,Los Angeles,San Francisco,4.925399644760213
30,2001-07-31,Minneapolis,Chicago,9.253265602322205
31,2001-07-31,Las Vegas,Los Angeles,9.103174603174603
32,2001-07-31,San Francisco,Los Angeles,13.503734439834025
33,2001-07-31,Chicago,Minneapolis,9.334550766983199
34,2001-07-31,Los Angeles,San Francisco,12.93421052631579
35,2001-08-31,Minneapolis,Chicago,10.270953757225433
36,2001-08-31,Las Vegas,Los Angeles,10.230164403145103
37,2001-08-31,San Francisco,Los Angeles,7.705414012738854
38,2001-08-31,Chicago,Minneapolis,10.186813186813186
39,2001-08-31,Los Angeles,San Francisco,6.307631160572337
40,2001-09-30,Minneapolis,Chicago,8.522114347357066
