,date,Origin,DepDelay
15,2002-04-30,ATL,1.580865603644647
16,2002-04-30,DFW,-0.15698341504120164
17,2002-04-30,LAX,0.29870983646971816
18,2002-04-30,ORD,0.9928461931527849
19,2002-04-30,STL,-0.9664199120266066
20,2002-05-31,ATL,1.6973187194253514
21,2002-05-31,DFW,-0.7524535977625223
22,2002-05-31,LAX,0.0667725287812624
23,2002-05-31,ORD,-0.5355788333032327
24,2002-05-31,STL,0.6859743483657427
25,2002-06-30,ATL,2.955807849600195
26,2002-06-30,DFW,0.7401374933897409
27,2002-06-30,LAX,1.341590714341357
28,2002-06-30,ORD,3.824134746470821
29,2002-06-30,STL,1.5728331730255423
30,2002-07-31,ATL,3.2393208543316536
31,2002-07-31,DFW,1.8705668384358896
32,2002-07-31,LAX,1.2335504154502583
33,2002-07-31,ORD,1.834770294472906
34,2002-07-31,STL,1.607176287051482
35,2002-08-31,ATL,1.069494092699182
36,2002-08-31,DFW,-0.6374452409398645
37,2002-08-31,LAX,1.3183263103422784
38,2002-08-31,ORD,0.8857733175914995
39,2002-08-31,STL,-0.5566694807935838
40,2002-09-30,ATL,1.2921892039258451
41,2002-09-30,DFW,-2.830733679953784
42,2002-09-30,LAX,-1.5388759946949602
43,2002-09-30,ORD,-1.6711163979205217
44,2002-09-30,STL,-2.098286530223703
45,2002-10-31,ATL,2.875456032205309
46,2002-10-31,DFW,-0.9637164111127979
47,2002-10-31,LAX,-0.5602975724353955
48,2002-10-31,ORD,-1.3636623865216324
49,2002-10-31,STL,-1.5462055292433088
50,2002-11-30,ATL,1.6382669572683441
51,2002-11-30,DFW,-1.3781812287242665
52,2002-11-30,LAX,-0.3116037580352728
53,2002-11-30,ORD,-0.823690579478515
54,2002-11-30,STL,-1.974753155855518
55,2002-12-31,ATL,5.193825944170772
56,2002-12-31,DFW,1.4294724464161634
57,2002-12-31,LAX,1.1847034764826176
58,2002-12-31,ORD,1.9433337929132772
59,2002-12-31,STL,-0.09674185463659148
0,2003-01-31,ATL,2.1426677067082682
